Date,Open,High,Low,Close,Adj Close,Volume
2010-09-06,50.400002,50.560001,50.400002,50.560001,44.427292,200
2010-09-13,50.560001,51.740002000000004,50.560001,51.619999,45.358738,10000
2010-09-20,51.799999,52.529999,51.799999,52.529999,46.158344,3800
2010-09-27,52.560001,53.73,52.560001,53.400002,46.922829,7100
2010-10-04,53.400002,53.509997999999996,53.080002,53.080002,46.64164,1500
2010-10-11,54.0,54.549999,53.849998,54.549999,47.933334,1200
2010-10-18,54.450001,54.470001,53.439999,54.029999,47.476397999999996,2900
2010-10-25,55.0,55.119999,54.330002,54.959998999999996,48.293594,25500
2010-11-01,55.209998999999996,57.09,54.630001,56.91,50.007069,52100
2010-11-08,56.93,57.169998,56.080002,56.389998999999996,49.550144,25400
2010-11-15,56.52,56.52,55.009997999999996,55.450001,48.724159,7100
2010-11-22,56.080002,57.07,56.080002,57.07,50.147663,1900
2010-11-29,56.84,58.91,56.34,58.900002,51.755691999999996,26700
2010-12-06,58.759997999999996,59.720001,58.720001,59.650002,52.414722,39200
2010-12-13,59.810001,60.150002,59.27,59.990002000000004,52.71348199999999,36300
2010-12-20,60.080002,60.740002000000004,59.950001,60.540001000000004,53.196774,56800
2010-12-27,60.060001,60.630001,59.91,60.450001,53.11768299999999,22600
2011-01-03,61.200001,61.200001,59.939999,60.23,53.082207,38800
2011-01-10,60.040001000000004,61.560001,59.68,61.560001,54.25435600000001,51400
2011-01-17,61.59,61.73,60.700001,60.700001,53.496418000000006,5400
2011-01-24,60.68,62.080002,60.68,60.82,53.602196,47900
2011-01-31,61.060001,62.610001000000004,61.060001,62.610001000000004,55.179749,26400
2011-02-07,62.93,64.33000200000001,62.93,64.33000200000001,56.695625,66500
2011-02-14,64.410004,65.239998,64.269997,65.120003,57.39188000000001,62700
2011-02-21,64.489998,64.550003,62.75,63.740002000000004,56.175647999999995,55500
2011-02-28,64.349998,64.779999,62.919998,63.970001,56.378361,16100
2011-03-07,64.93,64.93,62.650002,63.34,55.823128000000004,19700
2011-03-14,62.82,63.130001,61.110001000000004,62.720001,55.276695,44200
2011-03-21,63.48,64.910004,62.799999,64.470001,56.819016000000005,147600
2011-03-28,64.540001,66.260002,63.970001,66.110001,58.264393000000005,25900
2011-04-04,66.360001,66.910004,65.400002,65.529999,57.75323100000001,126800
2011-04-11,65.739998,65.739998,64.32,65.309998,57.559321999999995,18100
2011-04-18,64.769997,66.08000200000001,63.709998999999996,66.059998,58.220314,13800
2011-04-25,66.08000200000001,67.519997,65.779999,67.489998,59.48061,100700
2011-05-02,67.650002,67.650002,65.279999,66.0,58.167435,43100
2011-05-09,65.66999799999999,66.989998,65.629997,66.099998,58.255584999999996,28000
2011-05-16,65.790001,66.379997,64.720001,65.639999,57.85017,35300
2011-05-23,64.699997,65.980003,64.360001,65.860001,58.044064,29700
2011-05-30,66.540001,66.58000200000001,63.849998,64.099998,56.49292,18500
2011-06-06,63.630001,63.630001,61.98,62.009997999999996,54.650932,19800
